station_id,timestamp,temperature_c,pressure_hpa,humidity_pct,latitude,longitude
AWS_DIU,2021-01-01T00:00:00,17.69,1010.04,54.83,20.7141,70.9822
AWS_DIU,2021-01-01T01:00:00,17.44,1010.54,56.27,20.7141,70.9822
AWS_DIU,2021-01-01T02:00:00,17.19,1011.43,57.17,20.7141,70.9822
AWS_DIU,2021-01-01T03:00:00,18.79,1012.04,52.93,20.7141,70.9822
AWS_DIU,2021-01-01T04:00:00,21.64,1012.76,48.11,20.7141,70.9822
AWS_DIU,2021-01-01T05:00:00,24.64,1012.87,44.48,20.7141,70.9822
AWS_DIU,2021-01-01T06:00:00,26.84,1012.09,42.24,20.7141,70.9822
AWS_DIU,2021-01-01T07:00:00,27.79,1011.29,41.41,20.7141,70.9822
AWS_DIU,2021-01-01T08:00:00,27.54,1010.59,45.27,20.7141,70.9822
AWS_DIU,2021-01-01T09:00:00,26.59,1009.89,50.23,20.7141,70.9822
AWS_DIU,2021-01-01T10:00:00,26.24,1009.29,50.3,20.7141,70.9822
AWS_DIU,2021-01-01T11:00:00,26.09,1009.09,49.78,20.7141,70.9822
AWS_DIU,2021-01-01T12:00:00,25.29,1009.18,54.08,20.7141,70.9822
AWS_DIU,2021-01-01T13:00:00,23.84,1009.67,61.68,20.7141,70.9822
AWS_DIU,2021-01-01T14:00:00,23.34,1010.27,53.58,20.7141,70.9822
AWS_DIU,2021-01-01T15:00:00,22.49,1010.86,48.34,20.7141,70.9822
AWS_DIU,2021-01-01T16:00:00,21.09,1010.96,53.18,20.7141,70.9822
AWS_DIU,2021-01-01T17:00:00,20.24,1011.35,52.61,20.7141,70.9822
AWS_DIU,2021-01-01T18:00:00,19.89,1011.35,45.11,20.7141,70.9822
AWS_DIU,2021-01-01T19:00:00,19.49,1011.25,42.74,20.7141,70.9822
AWS_DIU,2021-01-01T20:00:00,18.94,1010.94,43.47,20.7141,70.9822
AWS_DIU,2021-01-01T21:00:00,18.39,1010.64,44.53,20.7141,70.9822
AWS_DIU,2021-01-01T22:00:00,17.49,1010.44,47.62,20.7141,70.9822
AWS_DIU,2021-01-01T23:00:00,16.74,1010.43,51.15,20.7141,70.9822
AWS_DIU,2021-01-02T00:00:00,16.89,1010.33,52.43,20.7141,70.9822
AWS_DIU,2021-01-02T01:00:00,16.59,1010.83,52.17,20.7141,70.9822
AWS_DIU,2021-01-02T02:00:00,16.44,1011.73,50.89,20.7141,70.9822
AWS_DIU,2021-01-02T03:00:00,17.99,1012.93,44.42,20.7141,70.9822
AWS_DIU,2021-01-02T04:00:00,20.54,1013.85,38.69,20.7141,70.9822
AWS_DIU,2021-01-02T05:00:00,23.69,1013.96,34.33,20.7141,70.9822
AWS_DIU,2021-01-02T06:00:00,25.84,1013.18,33.55,20.7141,70.9822
AWS_DIU,2021-01-02T07:00:00,26.89,1012.29,34.07,20.7141,70.9822
AWS_DIU,2021-01-02T08:00:00,27.44,1011.29,32.77,20.7141,70.9822
AWS_DIU,2021-01-02T09:00:00,27.39,1010.19,32.98,20.7141,70.9822
AWS_DIU,2021-01-02T10:00:00,27.04,1009.79,33.1,20.7141,70.9822
AWS_DIU,2021-01-02T11:00:00,26.44,1009.69,34.76,20.7141,70.9822
AWS_DIU,2021-01-02T12:00:00,25.69,1009.78,35.13,20.7141,70.9822
AWS_DIU,2021-01-02T13:00:00,23.69,1010.37,40.53,20.7141,70.9822
AWS_DIU,2021-01-02T14:00:00,22.44,1011.06,33.97,20.7141,70.9822
AWS_DIU,2021-01-02T15:00:00,20.84,1011.65,36.31,20.7141,70.9822
AWS_DIU,2021-01-02T16:00:00,19.49,1011.85,39.07,20.7141,70.9822
AWS_DIU,2021-01-02T17:00:00,18.79,1011.84,37.53,20.7141,70.9822
AWS_DIU,2021-01-02T18:00:00,18.09,1011.84,35.9,20.7141,70.9822
