station_id,timestamp,fault_type,temperature_c_true,temperature_c_corrected,temperature_c_abs_err,pressure_hpa_true,pressure_hpa_corrected,pressure_hpa_abs_err,humidity_pct_true,humidity_pct_corrected,humidity_pct_abs_err
AWS_DIU,2021-01-05T10:00:00,drift,26.29,26.04,0.25,1009.89,1010.27,0.37999999999999545,34.13,32.0,2.1300000000000026
AWS_DIU,2021-01-05T11:00:00,drift,25.99,25.67,0.31999999999999673,1009.88,1010.25,0.37000000000000455,34.63,35.01,0.37999999999999545
AWS_DIU,2021-01-05T12:00:00,drift,24.59,22.44,2.1499999999999986,1010.18,1011.07,0.8900000000001,45.8,51.9,6.100000000000001
AWS_DIU,2021-01-05T13:00:00,drift,21.64,20.39,1.25,1010.66,1011.99,1.330000000000041,50.57,58.38,7.810000000000002
AWS_DIU,2021-01-05T14:00:00,drift,21.49,21.07,0.41999999999999815,1011.36,1012.97,1.6100000000000136,39.23,54.01,14.780000000000001
AWS_DIU,2021-01-05T15:00:00,drift,20.04,19.7,0.33999999999999986,1012.05,1012.36,0.3100000000000591,43.19,50.14,6.950000000000003
AWS_DIU,2021-01-05T16:00:00,drift,19.54,19.46,0.0799999999999983,1012.44,1012.99,0.5499999999999545,46.89,48.4,1.509999999999998
AWS_DIU,2021-01-05T17:00:00,drift,19.34,18.7,0.6400000000000006,1012.74,1013.36,0.6200000000000045,50.63,50.95,0.3200000000000003
AWS_DIU,2021-01-05T18:00:00,drift,18.69,18.0,0.6900000000000013,1012.84,1013.37,0.5299999999999727,53.63,53.92,0.28999999999999915
AWS_DIU,2021-01-05T19:00:00,drift,18.09,17.46,0.629999999999999,1012.64,1013.27,0.6299999999999955,54.75,56.11,1.3599999999999994
AWS_DIU,2021-01-05T20:00:00,drift,17.69,19.46,1.7699999999999996,1012.43,1011.28,1.1499999999999773,55.02,52.38,2.6400000000000006
AWS_DIU,2021-01-05T21:00:00,drift,17.34,18.36,1.0199999999999996,1012.03,1011.14,0.8899999999999864,55.3,56.21,0.9100000000000037
AWS_DIU,2021-01-05T22:00:00,drift,16.99,17.2,0.21000000000000085,1012.03,1011.56,0.4700000000000273,55.4,61.62,6.219999999999999
AWS_DIU,2021-01-05T23:00:00,drift,16.79,15.84,0.9499999999999993,1011.93,1012.45,0.5200000000000955,55.92,61.92,6.0
AWS_DIU,2021-01-06T00:00:00,drift,15.99,15.18,0.8100000000000005,1011.83,1012.36,0.5299999999999727,62.12,68.45,6.330000000000005
